Country,Total,Informal Request,Informal Request Complied (Partial),Informal Request Complied (All),Civil Subpoena,Civil Subpoena Complied (Partial),Civil Subpoena Complied (All),Criminal Subpoena,Criminal Subpoena Complied (Partial),Criminal Subpoena Complied (All),Government,Government Complied (Partial),Government Complied (All),Warrant,Warrant Complied (Partial),Warrant Complied (All),Court orders,Court orders complied (Partial),Court orders complied (All),duration
Germany,3,0,,0,0,,0,0,,0,3,,0,0,,0,0,,0,janjun14
Brazil,1,0,,0,1,,0,0,,0,0,,0,0,,0,0,,0,janjun14
France,1,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,janjun14
Spain,1,0,,0,1,,0,0,,0,0,,0,0,,0,0,,0,janjun14
Switzerland,1,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,janjun14
USA,11,4,,0,2,,0,2,,0,2,,0,1,,1,0,,0,juldec14
France,4,0,,0,0,,0,0,,0,4,,0,0,,0,0,,0,juldec14
Italy,4,1,,0,0,,0,0,,0,3,,0,0,,0,0,,0,juldec14
Brazil,3,1,,0,1,,0,0,,0,1,,0,0,,0,0,,0,juldec14
Germany,2,2,,0,0,,0,0,,0,0,,0,0,,0,0,,0,juldec14
China,1,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,juldec14
India,1,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,juldec14
Israel,1,0,,0,0,,0,0,,0,1,,0,0,,0,0,,0,juldec14
Slovenia,1,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,juldec14
USA,8,7,,0,0,,0,1,,0,0,,0,0,,0,0,,0,janjun15
Italy,4,2,,0,0,,0,0,,0,1,,0,0,,0,1,,0,janjun15
Germany,3,2,,0,0,,0,0,,0,1,,0,0,,0,0,,0,janjun15
France,2,2,,0,0,,0,0,,0,0,,0,0,,0,0,,0,janjun15
United Kingdom,1,0,,0,0,,0,0,,0,1,,0,0,,0,0,,0,janjun15
Australia,1,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,janjun15
Russia,1,0,,0,0,,0,0,,0,1,,0,0,,0,0,,0,janjun15
Canada,1,0,,0,0,,0,0,,0,1,,0,0,,0,0,,0,janjun15
Netherlands,1,0,,0,0,,0,0,,0,1,,0,0,,0,0,,0,janjun15
Unknown,1,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,janjun15
USA,9,5,,0,1,,0,0,,0,3,,0,,,,0,,0,juldec15
France,6,4,,0,0,,0,0,,0,1,,0,,,,1,,1,juldec15
